Part.posicao;Part.seguranca;Part.codigo;Part.nome;Part.exibe
0;0;0;ACESSÓRIOS;0
RM;0;996510032472;CONTROLE REMOTE CID2680;1
0;0;0;DIVERSOS;0
EMI1;0;996510032226;FITA FS31*3*12;1
MB1;0;996510032215;PAINEL ELÉTRICO PRINCIPAL;1
ME12;0;996510032473;PAINEL ELÉTRICO SERVO;1
ME6;0;996510032187;VENTILADOR SF30C-12-018SEPA;1
PE0;0;996510032471;PAINEL ELÉTRICO TECLADO;1
PE1;0;996510032207;PORTA;1
PE10;0;996510032204;LENTE REM;1
PE11;0;996510032188;LENTE A-D;1
PE12;0;996510032201;TECLA RESET;1
PE13;0;996510032191;PORTA MINI SD;1
PE14;0;996510032232;TECLA EJECT;1
PE15;0;996510032184;GUIA DE LUZ ESQUERDO - CDM;1
PE19;0;996510032211;SUPORTE MIC;1
PE2;0;996510032219;TRAVA DA PORTA;1
PE20;0;996510032208;MIC;1
PE21;0;996510032469;PAINEL ELÉTRICO SD1;1
PE26;0;996510032239;FILME TFT;1
PE28;0;996510032196;ESPONJA CONDUTORA 11*10*5;1
PE3;0;996510032238;PAINEL;1
PE31;0;996510032225;GUIA DE LUZ DIREITO - CDM;1
PE34;0;996510032194; PAINEL TOUCH SCREEN SHARP 6.5   ;1
PE35;0;996510032237;MÓDULO LCD DLQ065Y5DG03 6.5;1
PE36;0;996510032721;PAINEL TFT LCD CID2680/55;1
PE38;0;996510032185;BLOCO LIMITADOR;1
PE4;0;996510032197;BOTÃO;1
PE5;0;996510032198;TECLA SOURCE;1
PE7;0;996510032231;BOTÃO NAVEGAÇÃO;1
